,track_id,track_name,track_duration,track_popularity,track_releaseDate,track_uri,artist_name,artist_id,album_id,album_name
751,5NWgHc5T5HlG0Nz9FgmZT1,Make the Most (feat. H.E.R.),213851,38,2020-04-03,spotify:track:5NWgHc5T5HlG0Nz9FgmZT1,Lonr.,2FIGTfXnX4gR3ypjQVPVlJ,00hw6ckfLMdkkHyCOwit3g,Make the Most (feat. H.E.R.)
752,7Kt2dIB6IvPUs2qSdPRw8X,أنساك,232566,9,2019-02-01,spotify:track:7Kt2dIB6IvPUs2qSdPRw8X,Layla Rina,1T6zSTnrsGeN5HwgwcGTnt,1FjKSu7MPy5dDQrA7FpFbn,أنساك
753,47FmTHqPWGWEfbgDpLjvCt,Dern Kala,219840,57,2015-11-06,spotify:track:47FmTHqPWGWEfbgDpLjvCt,Khruangbin,2mVVjNmdjXZZDvhgQWiakk,2OPcQNLP8DQVumD8kBRAH3,The Universe Smiles Upon You
754,5eGKna0aflc9wmMoDcIja4,High Flying Bird,153066,49,1966-08-15,spotify:track:5eGKna0aflc9wmMoDcIja4,Jefferson Airplane,2qFr8w5sWUITRlzZ9kZotF,4WqJrAJCPjmYTzvN1PTWaB,Jefferson Airplane Takes Off
755,1EvsBXlRgZaVzZ3unJ6yT6,Over Everything,379853,0,2017-10-13,spotify:track:1EvsBXlRgZaVzZ3unJ6yT6,Courtney Barnett,4OOlG5eBXSkSAAEeKjJb5Y,3gvo4nvimDdqA9c3y7Bptc,Lotta Sea Lice
756,3ZwQCZ2LuYwuQ6R1p1CJ3w,Juro Que,170075,56,2020-01-23,spotify:track:3ZwQCZ2LuYwuQ6R1p1CJ3w,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,3XV0gPorxF6TtGScGJChxG,Juro Que
757,7uaHWKcM7udTdFxOvBTYkJ,Higher,120626,0,2016-01-28,spotify:track:7uaHWKcM7udTdFxOvBTYkJ,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,19O3rXe4nDu9YDcc2tOQVn,ANTI (Deluxe)
758,2k6hpKTyubRVOmQR11ViY3,Demon Days,268400,54,2005-05-23,spotify:track:2k6hpKTyubRVOmQR11ViY3,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,0bUTHlWbkSQysoM3VsWldT,Demon Days
759,3eJUFA6IF9YqXstE1hd3GQ,Church,230013,19,2019-11-22,spotify:track:3eJUFA6IF9YqXstE1hd3GQ,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,4dBp8rzdqH9unSndGk6g6o,Everyday Life
760,56OhItQ6ACZrsi8FhR7nHd,The Fear,325560,37,2017-03-10,spotify:track:56OhItQ6ACZrsi8FhR7nHd,The Shins,4LG4Bs1Gadht7TCrMytQUO,51q9Mkz5BVwTRYsMlLASVZ,Heartworms
761,09qRkutJtXFjpTDQOftkMg,Feathery - Bonus Track,264000,40,2014-06-20,spotify:track:09qRkutJtXFjpTDQOftkMg,Milky Chance,1hzfo8twXdOegF3xireCYs,5D20ZzsNB377xbshIFP9Nb,Sadnecessary
762,62ocXa3rr5qUWI3GAhWnaH,Milk,265280,46,2009-09-28,spotify:track:62ocXa3rr5qUWI3GAhWnaH,Sweet Trip,5NtMqQLCzdVvL7F8vFp3zM,78lIjVFQSSRqO47Pvw1b9M,You Will Never Know Why
763,7JFMf61pdg8H8NEMgxdHYx,One Tree Hill - Remastered 2007,322373,42,1987-03-10,spotify:track:7JFMf61pdg8H8NEMgxdHYx,U2,51Blml2LZPmy7TTiAg47vQ,5vBZRYu2GLA65nfxBvG1a7,The Joshua Tree
764,3QaULt6mFjXbmU1O8chake,Holding Out For You,283394,49,2015-01-23,spotify:track:3QaULt6mFjXbmU1O8chake,Pond,4skJp5OKvcc9eKokiuhi2s,60aAmcYX5tw7r9ZQ1HF34q,Man It Feels Like Space Again
765,2O99aywAVBhaPrsiJ6zbSS,'Cause I'm A Man,241986,61,2015-07-17,spotify:track:2O99aywAVBhaPrsiJ6zbSS,Tame Impala,5INjqkS1o8h1imAzPqGZBb,79dL7FLiJFOO0EoehUHQBv,Currents
